TAVG,
0,0.909297427
1.111111111,-0.712201753
-1.111111111,-0.996782436
-1.111111111,-0.996782436
-3.333333333,-0.815221353
-1.666666667,0.094101246
-5,-0.909104542
-3.333333333,-0.815221353
-1.666666667,0.094101246
-2.777777778,-0.428835721
-6.111111111,0.996745196
-6.111111111,0.996745196
-3.333333333,-0.815221353
-2.222222222,0.964110957
-0.555555556,0.251976602
-3.333333333,-0.815221353
-6.666666667,-0.093640024
-8.333333333,0.815489567
-6.111111111,0.996745196
-3.333333333,-0.815221353
-5,-0.909104542
-10.55555556,0.252873121
-14.44444444,0.568823715
-8.333333333,0.815489567
-3.888888889,0.711876474
-2.777777778,-0.428835721
-1.666666667,0.094101246
-1.111111111,-0.996782436
-5.555555556,-0.252424895
-5.555555556,-0.252424895
-4.444444444,0.568061422
-2.777777778,-0.428835721
-2.222222222,0.964110957
1.666666667,0.814952964
0.555555556,-0.567680098
-0.555555556,0.251976602
-0.555555556,0.251976602
1.111111111,-0.712201753
2.777777778,-0.963987857
3.888888889,0.996819462
4.444444444,-0.251528255
4.444444444,-0.251528255
5,-0.909490117
-1.666666667,0.094101246
-3.333333333,-0.815221353
-0.555555556,0.251976602
3.333333333,-0.094562448
4.444444444,-0.251528255
5,-0.909490117
3.333333333,-0.094562448
0,0.909297427
1.666666667,0.814952964
2.777777778,-0.963987857
-1.111111111,-0.996782436
2.222222222,0.429254183
0.555555556,-0.567680098
3.333333333,-0.094562448
2.222222222,0.429254183
1.666666667,0.814952964
0.555555556,-0.567680098
5.555555556,0.567298652
11.11111111,-0.712851854
11.11111111,-0.712851854
6.666666667,-0.8146844
7.777777778,0.963864549
8.888888889,-0.996856275
6.666666667,-0.8146844
2.222222222,0.429254183
1.111111111,-0.712201753
1.666666667,0.814952964
3.333333333,-0.094562448
6.111111111,0.712526879
5.555555556,0.567298652
10,0.909682611
9.444444444,0.251079854
11.66666667,0.814415667
13.88888889,0.996892873
15,-0.909874911
8.888888889,-0.996856275
10.55555556,-0.566917095
14.44444444,-0.250631388
10,0.909682611
9.444444444,0.251079854
8.333333333,0.09502363
8.333333333,0.09502363
12.22222222,0.430090836
15,-0.909874911
16.66666667,-0.814146753
16.66666667,-0.814146753
15.55555556,0.566535405
19.44444444,0.250182879
18.33333333,0.095945942
14.44444444,-0.250631388
13.88888889,0.996892873
15.55555556,0.566535405
15,-0.909874911
17.22222222,-0.430509022
20,0.910067015
18.33333333,0.095945942
13.88888889,0.996892873
11.66666667,0.814415667
11.11111111,-0.712851854
12.77777778,-0.963741036
17.77777778,0.963617314
16.11111111,0.713176674
18.33333333,0.095945942
13.88888889,0.996892873
15.55555556,0.566535405
15.55555556,0.566535405
15,-0.909874911
18.33333333,0.095945942
23.88888889,0.996965427
21.11111111,-0.713501341
16.11111111,0.713176674
20.55555556,-0.566153595
21.11111111,-0.713501341
16.66666667,-0.814146753
17.77777778,0.963617314
17.77777778,0.963617314
23.33333333,-0.096407062
23.33333333,-0.096407062
27.22222222,-0.431345116
12.77777778,-0.963741036
18.88888889,-0.996929257
22.77777778,-0.963493386
18.88888889,-0.996929257
18.33333333,0.095945942
19.44444444,0.250182879
20.55555556,-0.566153595
18.88888889,-0.996929257
22.22222222,0.430927115
23.88888889,0.996965427
14.44444444,-0.250631388
19.44444444,0.250182879
13.33333333,-0.095484801
18.33333333,0.095945942
23.33333333,-0.096407062
24.44444444,-0.249734317
23.88888889,0.996965427
23.33333333,-0.096407062
22.77777778,-0.963493386
23.33333333,-0.096407062
23.33333333,-0.096407062
18.88888889,-0.996929257
23.33333333,-0.096407062
21.66666667,0.813877665
23.33333333,-0.096407062
22.77777778,-0.963493386
23.33333333,-0.096407062
23.33333333,-0.096407062
28.33333333,0.096868162
22.22222222,0.430927115
23.33333333,-0.096407062
25.55555556,0.565771662
24.44444444,-0.249734317
24.44444444,-0.249734317
23.88888889,0.996965427
